Year,Month,Region,Region_UNSD,Location,Coordinates,Cause,Route,Source,Quality,Dead,Missing,Total,Females,Males,Children,Survivors
2017,May,Southern Asia,Southern Asia,"Bam, Kerman province, Iran","29.0984956, 58.337468",Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,IOM Afghanistan,4,1,0,1,0,1,1,0
2017,May,Southern Asia,Southern Asia,"Yazd province, Iran","31.8974232, 54.3568562",Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,IOM Afghanistan,4,1,0,1,0,1,0,0
2017,May,Western Africa,Western Africa,"Desert outside Dirkou, Niger","19.2078834, 12.4693292","Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"BBC, Reuters, IOM Niger",4,44,0,44,17,0,6,6
2017,May,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.4503, -113.13721",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,May,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.43983, -113.13195",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,May,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.43381, -113.12862",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,May,Mediterranean,Uncategorized,Off the coast of Tunisia,"34.01905714, 10.04973655",Mixed or unknown,Central Mediterranean,IOM Tunisia,4,13,0,13,0,0,0,0
2017,May,Northern Africa,Northern Africa,"Tripoli, Libya","32.8883626, 13.20919108",Violence,Unknown,MHub,2,10,0,10,0,0,0,0
2017,May,Western Africa,Western Africa,"Sahara Desert, between Agadez, Niger and Sabha, Libya","22.88290158, 11.90490819","Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,MHub,2,12,0,12,0,0,0,0
2017,May,Northern Africa,Northern Africa,"Tripoli, Libya","32.88490295, 13.18172526",Mixed or unknown,Unknown,MHub,2,1,0,1,0,0,0,0
2017,May,Northern Africa,Northern Africa,"Tripoli, Libya","32.89161208, 13.21975322","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,MHub,2,2,0,2,0,0,0,0
2017,May,Northern Africa,Northern Africa,"Tripoli, Libya","32.8872094, 13.1913383","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,MHub,2,5,0,5,0,0,0,0
2017,June,Europe,Southern Europe,"Train station in Dialogi, Greece","37.9603066, 23.7261772",Vehicle accident / death linked to hazardous transport,Western Balkans,IOM Greece,4,1,0,1,0,0,0,0
2017,June,Central America,Central America,"Near train tracks, Parras de la Fuente, Coahuila, Mexico","25.4508878, -102.2144018",Mixed or unknown,Unknown,Multimedios,1,1,0,1,0,1,0,0
2017,June,Western Asia,Western Asia,"Van province, Turkey","37.942871, 44.190806","Harsh environmental conditions / lack of adequate shelter, food, water",Iran to Turkey,Mixed Migration Monitoring Mechanism Initative (4mi),0,1,0,1,0,1,0,0
2017,June,Mediterranean,Uncategorized,"Unspecified location in the Channel of Sicily, off the coast of Italy","36.63834894, 13.1291587",Mixed or unknown,Central Mediterranean,Save the Children,4,4,0,4,1,0,0,125
2017,June,Northern Africa,Northern Africa,"Shouhadd Mdaken, Azzawya, east of Tripoli, Libya","32.78034885, 12.71280693",Vehicle accident / death linked to hazardous transport,Unknown,IOM Libya,4,1,0,1,0,0,0,0
2017,June,Northern Africa,Northern Africa,"Sahara desert, Libya","27.0026877, 12.48223725",Mixed or unknown,Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,4,0,4,0,0,0,0
2017,June,Northern Africa,Northern Africa,"Sahara desert, Libya","25.30661684, 13.84454194",Mixed or unknown,Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,2,0,2,2,0,0,0
2017,June,Mediterranean,Uncategorized,"Bodies washed up to Zarzis, Tunisia","33.5171255, 11.1163723",Drowning,Central Mediterranean,IOM Tunisia,4,19,0,19,9,8,2,0
2017,June,Mediterranean,Uncategorized,"Bodies washed up to Houmt Souk Jerba, Tunisia","33.881101, 10.8658187",Drowning,Central Mediterranean,IOM Tunisia,4,2,0,2,0,2,0,0
2017,June,Europe,Eastern Europe,"In minibus on highway near Pazardjik, Bulgaria, near border with Greece and Turkey","41.7309539, 26.0817814",Vehicle accident / death linked to hazardous transport,Western Balkans,"Deutsche Welle, Novinite",3,6,0,6,0,0,0,7
2017,June,Europe,Eastern Europe,"In minibus on highway near Pazardjik, Bulgaria, near border with Greece and Turkey","41.7309539, 26.0817814",Vehicle accident / death linked to hazardous transport,Western Balkans,"Deutsche Welle, Novinite",3,3,0,3,0,0,0,0
2017,June,Northern Africa,Northern Africa,"In truck in Garabulli, Libya","32.743053, 13.7073097",Vehicle accident / death linked to hazardous transport,Unknown,IOM Libya,4,7,0,7,0,0,0,28
2017,June,Western Africa,Western Africa,"Séguédine, Niger","20.32367787, 13.00530596",Mixed or unknown,Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,15,0,15,0,0,0,0
2017,June,Northern Africa,Northern Africa,"Sahara desert, Libya","24.24929742, 12.92169038",Mixed or unknown,Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,5,0,5,0,5,0,0
2017,June,Western Africa,Western Africa,"Séguédine, Niger","20.2, 12.9833333",Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,4,0,4,0,4,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.882383, -112.16165",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.601267, -112.671433",Violence,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,Western Africa,Western Africa,"Séguédine, Niger","20.20902151, 12.90230913",Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,9,0,9,0,0,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.034241, -111.339419","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,Europe,Western Europe,"Near Tattenhausen, Germany","47.9228547, 12.0702646",Vehicle accident / death linked to hazardous transport,Unknown,Abend Zeitung,3,1,0,1,0,1,0,0
2017,June,Mediterranean,Uncategorized,"Isleta del Moro, Cabo de Gata, Almería, Spain","36.7463917, -2.1710412",Drowning,Western Mediterranean,Europa Press,1,1,0,1,0,1,1,0
2017,June,Mediterranean,Uncategorized,"Near Playa de los Muertos, Cabo de Gata, Almería, Spain","36.9535799, -1.9029405",Drowning,Western Mediterranean,"Salvamento Marítimo, Europa Press",5,1,0,1,0,1,0,0
2017,June,Western Africa,Western Africa,"Desert outside Dirkou, Niger","19.12634, 12.7798059",Mixed or unknown,Sahara Desert crossing,IOM Niger,4,1,0,1,0,1,0,91
2017,June,Mediterranean,Uncategorized,"Near Sabratha, west of Tripoli, Libya","32.8768429, 13.1020327",Violence,Central Mediterranean,IOM Libya,4,1,0,1,0,1,0,0
2017,June,Mediterranean,Uncategorized,Unspecified location off the coast of Libya,"33.74674152, 12.90189454",Drowning,Central Mediterranean,IOM Italy,4,8,52,60,0,6,2,79
2017,June,Mediterranean,Uncategorized,Unspecified location between Libya and Italy,"34.8293173, 11.8660779",Drowning,Central Mediterranean,"IOM Italy, Swedish Coast Guard",5,8,0,8,6,2,0,0
2017,June,Mediterranean,Uncategorized,Unspecified location between Libya and Italy,"34.89587354, 14.06267391",Drowning,Central Mediterranean,MOAS,4,1,0,1,0,0,0,0
2017,June,Mediterranean,Uncategorized,Unspecified location between Libya and Italy,"34.89587354, 14.06267391",Drowning,Central Mediterranean,"IOM Italy, MSF",4,1,0,1,0,1,0,0
2017,June,Central America,Central America,"Río Bravo, Colonia Presidentes, Piedras Negras, Coahuila, Mexico","28.6791752, -100.5216602",Drowning,US-Mexico border crossing,La Prensa de Monclova,1,1,0,1,0,1,0,0
2017,June,Western Africa,Western Africa,"Sikasso, Mali","11.3223834, -5.6983979",Sickness / lack of access to adequate healthcare,Unknown,Mixed Migration Monitoring Mechanism Initative (4mi),2,1,0,1,0,1,0,0
2017,June,Western Africa,Western Africa,"Agadez, Niger","16.9741689, 7.986535",Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,1,0,1,0,1,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.76012, -111.42261","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.31955, -112.5273",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,North America,Northern America,"All American Canal, Calexico, Imperial County, California","32.66452279, -115.52908291",Drowning,US-Mexico border crossing,Imperial County Coroner's Office,5,1,0,1,0,1,0,0
2017,June,Mediterranean,Uncategorized,"Bodies retrieved in Garabulli, Libya","32.7917479, 13.6921318",Drowning,Central Mediterranean,IOM Libya,4,2,0,2,0,2,0,0
2017,June,Mediterranean,Uncategorized,"Bodies found off the coast of Aguadú, Melilla, Spain","35.3142067, -2.944928",Drowning,Western Mediterranean,Asociación Pro Derechos Humanos de Andalucía,3,2,0,2,0,2,0,0
2017,June,Mediterranean,Uncategorized,"Unspecified location in the Channel of Sicily, off the coast of Italy","35.50448413, 13.31546174",Mixed or unknown,Central Mediterranean,LACN24,1,1,0,1,1,0,0,0
2017,June,Mediterranean,Uncategorized,"Body retrieved in Sabratha, Libya","32.81566588, 12.45651353",Drowning,Central Mediterranean,IOM Libya,4,1,0,1,0,0,0,0
2017,June,North America,Northern America,"La Gallina Road, near La Joya, Hidalgo County, Texas, USA","26.2506568, -98.4916346",Mixed or unknown,US-Mexico border crossing,"Hidalgo County Sheriff's Office, El Nuevo Heraldo",5,1,0,1,0,1,0,0
2017,June,Central America,Central America,"Río Bravo, Ciudad Acuña, Coahuila, Mexico","29.322646, -101.0053844",Drowning,US-Mexico border crossing,Zócalo,3,1,0,1,0,1,0,0
2017,June,Western Asia,Western Asia,"Syrian/Turkish border, near Hassaniya Hattiya, Idlib province","36.0267789, 36.2484529",Violence,Syria to Turkey,Syrian Observatory for Human Rights,4,5,0,5,0,0,1,0
2017,June,Mediterranean,Uncategorized,"Bodies retrieved in Janzour, west of Tripoli, Libya","32.8214694, 12.9502941",Drowning,Central Mediterranean,"IOM Libya, Libyan Red Crescent",4,3,0,3,0,0,0,0
2017,June,Mediterranean,Uncategorized,"Bodies retrieved in Az Zawiyah, east of Tripoli, Libya","32.7924885, 12.7632621",Drowning,Central Mediterranean,"IOM Libya, Libyan Red Crescent",4,4,0,4,0,0,0,0
2017,June,Mediterranean,Uncategorized,Unspecified location off the coast of Libya,"32.15089731, 17.73038778",Drowning,Central Mediterranean,IOM Italy,4,0,126,126,0,0,0,4
2017,June,Northern Africa,Northern Africa,"Found dead in Sebha, Libya","27.0087129, 14.4490398",Mixed or unknown,Sahara Desert crossing,IOM Libya,4,3,0,3,0,0,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.98217, -112.13511",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,Southern Asia,Southern Asia,"Sarwan, Sistan and Baluchestan province, Iran","27.3526033, 62.3447815",Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,IOM Afghanistan,4,1,0,1,0,1,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.64953, -111.45708",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,North America,Northern America,"Rancho Stumberg, Dimmit County, Texas, USA","28.16011482, -100.20800131",Mixed or unknown,US-Mexico border crossing,Zócalo,1,1,0,1,0,1,0,0
2017,June,Western Africa,Western Africa,"Sahara desert, Niger","19.27526061, 8.41125584",Violence,Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,12,0,12,0,0,0,0
2017,June,Western Africa,Western Africa,"Sahara desert, Niger","19.37893248, 8.65295506",Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,8,0,8,0,0,0,0
2017,June,Mediterranean,Uncategorized,"70 miles southeast of Cartagena, Murcia, Spain","37.5748421, -1.0213542",Mixed or unknown,Western Mediterranean,Salvamento Marítimo,5,5,0,5,0,0,0,0
2017,June,Mediterranean,Uncategorized,"Bodies retrieved in Al Mutred area, west of Az Zawiyah, Libya","32.7933071, 12.6561106",Drowning,Central Mediterranean,IOM Libya,4,8,0,8,0,0,0,0
2017,June,Mediterranean,Uncategorized,"Off the coast of Zuwarah, Libya","32.8622936, 12.530664",Drowning,Central Mediterranean,IOM Libya,4,0,110,110,0,0,0,25
2017,June,Mediterranean,Uncategorized,"Off the coast of Sabratha, Libya","32.8622936, 12.530664",Drowning,Central Mediterranean,UNHCR,4,2,0,2,0,0,0,135
2017,June,Mediterranean,Uncategorized,"Off the coast of Sabratha, Libya","32.8622936, 12.530664",Drowning,Central Mediterranean,UNHCR,4,2,0,2,0,0,0,0
2017,June,Mediterranean,Uncategorized,"Off the coast of Sabratha, Libya","32.8622936, 12.530664",Drowning,Central Mediterranean,UNHCR,4,1,0,1,0,0,0,0
2017,June,Mediterranean,Uncategorized,"Bodies retrieved in Sabratha, Libya","32.8469698, 12.6605155",Drowning,Central Mediterranean,IOM Libya,4,2,0,2,1,1,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.44072, -113.11978",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.41934, -113.13554",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.41131, -113.13784",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.41175, -113.13807",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.41754, -113.1268",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.42663, -113.12548",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.45975, -113.12954",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.46414, -113.13318",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,Northern Africa,Northern Africa,"In-Guezzam, Algeria, near the border with Niger","19.5708544, 5.7693847",Mixed or unknown,Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,11,0,11,0,0,0,0
2017,June,Northern Africa,Northern Africa,"In-Guezzam, Algeria, near the border with Niger","19.5708544, 5.7693847","Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,2,0,2,0,0,0,0
2017,June,Western Africa,Western Africa,"Agadez, Niger","16.9741689, 7.986535",Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,1,0,1,0,1,0,0
2017,June,Southern Asia,Southern Asia,"Nimruz province, Afghanistan","29.960203, 61.314214","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,Mixed Migration Monitoring Mechanism Initiative (4mi),2,1,0,1,1,0,0,0
2017,June,Mediterranean,Uncategorized,"Bodies retrieved north west of Az Zawiyah, Libya","32.8447102, 12.592091",Drowning,Central Mediterranean,IOM Libya,4,7,0,7,0,0,0,0
2017,June,Western Africa,Western Africa,"Séguédine, Niger","20.21933116, 12.91054888","Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,3,0,3,0,3,0,0
2017,June,Mediterranean,Uncategorized,"Bodies retrieved in Tajoura, east of Tripoli, Libya","32.8864058, 13.3787551",Drowning,Central Mediterranean,IOM Libya,4,9,0,9,0,0,0,0
2017,June,North America,Northern America,"Río Bravo, near 1400 International Boulevard, Hidalgo, Hidalgo County, Texas, USA","26.11825501, -98.26521003",Drowning,US-Mexico border crossing,Hidalgo County Sheriff's Office,5,1,0,1,1,0,1,0
2017,June,North America,Northern America,"Remote canyon road in San Juan Capistrano, Orange County, California","33.5063335, -117.6838078",Mixed or unknown,US-Mexico border crossing,AP,3,1,0,1,1,0,0,0
2017,June,Mediterranean,Uncategorized,Unspecified location between Libya and Italy,"34.1847448, 11.8777545",Drowning,Central Mediterranean,"IOM Italy, UNHCR",4,0,7,7,0,0,0,0
2017,June,Southern Asia,Southern Asia,"Bhogal district, Delhi, India","28.58381, 77.247466",Vehicle accident / death linked to hazardous transport,Unknown,Mixed Migration Monitoring Mechanism Initiative (4mi),2,1,0,1,0,1,0,0
2017,June,Mediterranean,Uncategorized,"20 miles north of Zuwara, Libya","32.9366507, 12.087716",Drowning,Central Mediterranean,"Jugend Rettet, Proactiva Open Arms",4,3,0,3,0,0,0,0
2017,June,Mediterranean,Uncategorized,"Body retrieved in Playa Castillejos, Fnideq, Morocco, near the border with Ceuta, Spain","35.8255136, -5.7245056",Drowning,Western Mediterranean,Asociación Pro Derechos Humanos de Andalucía,3,1,0,1,0,1,0,0
2017,June,North America,Northern America,"Body found in Faith Ranch, near El Indio, Maverick County, Texas","28.5085892, -100.3105718","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Zócalo,3,1,0,1,0,1,0,0
2017,June,North America,Northern America,"El Tepejuaje Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector","27.15247327, -98.20047633",Sickness / lack of access to adequate healthcare,US-Mexico border crossing,US Border Patrol / South Texas Human Rights Center,5,1,0,1,0,1,0,0
2017,June,North America,Northern America,"Jones Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector","27.0227822, -98.5412384","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,US Border Patrol / South Texas Human Rights Center,5,1,0,1,0,0,0,0
2017,June,North America,Northern America,"Héctor López Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector","27.2196887, -98.1665859",Mixed or unknown,US-Mexico border crossing,US Border Patrol / South Texas Human Rights Center,5,1,0,1,1,0,0,0
2017,June,Northern Africa,Northern Africa,"Unspecified location in the Sahara desert, Libya","22.53521696, 23.16094819","Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,2,0,2,0,2,0,0
2017,June,Southern Asia,Southern Asia,"Jamia Nagar district, Delhi, India","28.575817, 77.277431",Mixed or unknown,Unknown,Mixed Migration Monitoring Mechanism Initiative (4mi),2,1,0,1,1,0,0,0
2017,June,Southern Asia,Southern Asia,"Jamia Nagar district, Delhi, India","28.575817, 77.277431",Sickness / lack of access to adequate healthcare,Unknown,Mixed Migration Monitoring Mechanism Initiative (4mi),2,1,0,1,0,1,0,0
2017,June,Central America,Central America,"Train tracks near La Amapa, Villa Unión, Sinaloa, Mexico","23.0902207, -106.1527717",Vehicle accident / death linked to hazardous transport,Unknown,Línea Directa,1,1,0,1,0,1,0,0
2017,June,Mediterranean,Uncategorized,"Bodies recovered near Garabulli, Libya","32.750388, 13.7145856",Drowning,Central Mediterranean,IOM Libya,4,18,0,18,0,0,0,2
2017,June,Mediterranean,Uncategorized,"Bodies recovered in Tajoura, Libya","32.8596005, 13.4340859",Drowning,Central Mediterranean,IOM Libya,4,5,0,5,0,5,0,0
2017,June,Northern Africa,Northern Africa,"On the road between Sebha and Ashshwayrif, Libya","27.0420458, 14.4553448",Violence,Sahara Desert crossing,IOM DTM Libya,4,1,0,1,0,0,0,5
2017,June,Southern Asia,Southern Asia,"Sarwan, Sistan and Baluchestan province, Iran","27.3526033, 62.3447815",Violence,Afghanistan to Iran,IOM Afghanistan,4,1,0,1,0,1,0,0
2017,June,Mediterranean,Uncategorized,"Unspecified location off the coast of Calabria, Italy","35.3621456, 16.32440644",Drowning,Central Mediterranean,Wesud,1,1,0,1,0,0,0,71
2017,June,Western Africa,Western Africa,"Dao, Niger, near the border with Libya","20.566667, 13.533333",Mixed or unknown,Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,6,0,6,0,6,0,0
2017,June,Mediterranean,Uncategorized,"Body retrieved in Tajoura, east of Tripoli, Libya","32.8631624, 13.4367761",Drowning,Central Mediterranean,IOM Libya,4,1,0,1,0,0,0,0
2017,June,Western Africa,Western Africa,"Lagos, Nigeria","6.5243793, 3.3792057",Sickness / lack of access to adequate healthcare,Unknown,Mixed Migration Monitoring Mechanism Initative (4mi),2,1,0,1,1,0,0,0
2017,June,North America,Northern America,"Near Bentsen State Park, Mission, Hidalgo County, Texas","26.2024694, -98.4030222","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"US Border Patrol, Hidalgo County Sheriff's Office",5,1,0,1,1,0,0,0
2017,June,Western Africa,Western Africa,"Agadez, Niger","16.9741689, 7.986535",Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,2,0,2,0,2,0,0
2017,June,Western Africa,Western Africa,"Kano, Nigeria","12.0021794, 8.5919561",Sickness / lack of access to adequate healthcare,Unknown,Mixed Migration Monitoring Mechanism Initative (4mi),2,1,0,1,0,1,0,0
2017,June,Western Africa,Western Africa,"Desert near Séguédine, Niger","20.76778273, 13.06221859","Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,IOM Niger,4,1,51,52,0,0,0,23
2017,June,Mediterranean,Uncategorized,Unspecified location off the coast of Libya,"34.8505039, 17.5484844",Mixed or unknown,Central Mediterranean,"IOM Italy, Ministerio de Defensa de España",5,2,0,2,0,0,0,229
2017,June,North America,Northern America,"Dos Palomas Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector","27.211565, -98.133014",Mixed or unknown,US-Mexico border crossing,US Border Patrol / South Texas Human Rights Center,5,1,0,1,0,1,0,0
2017,June,Mediterranean,Uncategorized,Unspecified location off the coast of Libya,"31.6249141, 17.2623651",Drowning,Central Mediterranean,Jugend Rettet,4,3,0,3,0,0,0,0
2017,June,Mediterranean,Uncategorized,"Body retrieved in Al Maya, Libya","32.8133431, 12.8824822",Drowning,Central Mediterranean,IOM Libya,4,1,0,1,0,0,0,0
2017,June,Central America,Central America,"Rio Bravo, Puente Internacional, Ojinaga, Chihuahua, Mexico","29.5409213, -105.61934",Drowning,US-Mexico border crossing,US Border Patrol / La Crónica de Chihuahua,5,2,0,2,1,1,1,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.90665, -111.337367","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.40368, -111.5488","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,Western Asia,Western Asia,"Syrian/Turkish border, Idlib province","36.0267789, 36.2484529",Violence,Syria to Turkey,Syrian Observatory for Human Rights,4,10,0,10,0,0,0,0
2017,June,Western Asia,Western Asia,"Syrian/Turkish border, near Darkoush, Idlib province","35.9925019, 36.3882626",Violence,Syria to Turkey,Syrian Observatory for Human Rights,4,2,0,2,0,2,0,0
2017,June,Northern Africa,Northern Africa,"Unspecified location in the Sahara desert, Sudan","14.22989997, 34.74400319",Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,1,0,1,1,0,0,0
2017,June,Western Africa,Western Africa,"Séguédine, Niger","20.2, 12.9833333",Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,2,0,2,0,2,0,0
2017,July,Western Africa,Western Africa,"Sahara desert, Niger","20.6704873, 11.13036275","Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Mixed Migration Monitoring Mechanism Initative (4mi),2,1,0,1,1,0,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.3334, -113.1181",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,North America,Northern America,"El Tepejuaje Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector","27.13490569, -98.23503081",Mixed or unknown,US-Mexico border crossing,US Border Patrol / South Texas Human Rights Center,5,1,0,1,0,1,0,0
2017,June,Mediterranean,Uncategorized,"Bodies retrieved in Tajoura, east of Tripoli, Libya","32.8798342, 13.36196",Drowning,Central Mediterranean,IOM Libya,4,7,0,7,0,0,0,0
2017,June,Northern Africa,Northern Africa,"Tripoli, Libya","32.88562372, 13.18395686",Mixed or unknown,Unknown,Mixed Migration Monitoring Mechanism Initative (4mi),2,2,0,2,0,2,0,0
2017,June,North America,Northern America,"Cage Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector","27.14712643, -98.23777739",Mixed or unknown,US-Mexico border crossing,US Border Patrol / South Texas Human Rights Center,5,1,0,1,0,0,0,0
2017,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.793083, -111.852183","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2017,June,Mediterranean,Uncategorized,Unspecified location between North Africa and Italy,"32.90699434, 14.34497598",Drowning,Central Mediterranean,UNHCR Italy,4,1,0,1,0,0,0,0
